title,author
As I Lay Dying,William Faulkner
The Girl in the Steel Corset,Kady Cross
The Romanov Prophecy,Steve Berry
Max ,James Patterson
Sin Undone,Larissa Ione
Moonlight Mile ,Dennis Lehane
Sepulchre,Kate Mosse
Rock Chick Rescue,Kristen Ashley
Jack & Jill,James Patterson
Fracture Me,Tahereh Mafi
How I Live Now,Meg Rosoff
John Adams,David McCullough
Firefly Lane,Kristin Hannah
Mockingjay,Suzanne Collins
An Offer From a Gentleman,Julia Quinn
Elephants Can Remember,Agatha Christie
Angel,James Patterson
Succubus Blues,Richelle Mead
Necroscope ,Brian Lumley
Cross Country,James Patterson
The Pearls of Lutra,Brian Jacques
The Broken Window,Jeffery Deaver
The Truth,Terry Pratchett
Villa Incognito,Tom Robbins
Not Without My Daughter,Betty Mahmoody
Flash and Bones,Kathy Reichs
Endlessly,Kiersten White
The Chrysalids,John Wyndham
Rumpelstilzchen,Paul O. Zelinsky
Obsidian,Jennifer L. Armentrout
The Sound of Gravel,Ruth Wariner
The Pursuit of Happyness,Chris Gardner
Jailbird,Kurt Vonnegut Jr.
Falling Up,Shel Silverstein
A Walk to Remember,Nicholas Sparks
Clockwork Prince,Cassandra Clare
The Time Keeper,Mitch Albom
Childhood's End,Arthur C. Clarke
The Sorceress,Michael Scott
Guards! Guards!,Terry Pratchett
The Great and Secret Show,Clive Barker
Gabriel's Inferno,Sylvain Reynard
E Is for Evidence,Sue Grafton
Memories of Ice,Steven Erikson
Calculated in Death,J.D. Robb
"Catherine, Called Birdy",Karen Cushman
Can Love Happen Twice?,Ravinder Singh
Twenties Girl,Sophie Kinsella
The Secret Speech,Tom Rob Smith
The Ringworld Engineers ,Larry Niven
Bloody Valentine,Melissa de la Cruz
Garden Spells,Sarah Addison Allen
Chasing Darkness,Robert Crais
The Magician's Apprentice,Trudi Canavan
Earth Abides,George R. Stewart
Keeping You a Secret,Julie Anne Peters
The White Rose,Glen Cook
A Spell for Chameleon,Piers Anthony
Midnight Tides,Steven Erikson
"PS, I Love You",Cecelia Ahern
The Saving Graces,Patricia Gaffney
Daughter of the Forest,Juliet Marillier
Sea Swept,Nora Roberts
The Shining,Stephen King
Bloodline,Sidney Sheldon
Touching Spirit Bear,Ben Mikaelsen
Life of Pi,Yann Martel
Torment,Lauren Kate
Nutshell,Ian McEwan
The Wizard Heir,Cinda Williams Chima
Big Rock,Lauren Blakely
Mercy,Jodi Picoult
True Colors,Kristin Hannah
L.A. Requiem,Robert Crais
Seven Years to Sin,Sylvia Day
If There Be Thorns,V.C. Andrews
The Desert Spear,Peter V. Brett
Grey,E.L. James
Brother Odd,Dean Koontz
The Firm,John Grisham
Tricks,Ellen Hopkins
Into the Wild,Erin Hunter
The Never War,D.J. MacHale
Delirium,Lauren Oliver
Magic's Price,Mercedes Lackey
Two States,Chetan Bhagat
Footfall,"Larry Niven, Jerry Pournelle"
Zita the Spacegirl,Ben Hatke
Waiting,Ha Jin
Throne of Glass,Sarah J. Maas
The Book of Negroes,Lawrence Hill
The Wolf of Wall Street,Jordan Belfort
It's In His Kiss,Julia Quinn
Portrait in Death,J.D. Robb
Islands in the Stream,Ernest Hemingway
Darke,"Angie Sage, Mark Zug"
The Cove,Catherine Coulter
Fablehaven,Brandon Mull
Break No Bones,Kathy Reichs
Too Much Happiness,Alice Munro
Without Remorse,Tom Clancy
Wild Cards,Simone Elkeles
The Fuck-Up,Arthur Nersesian
Throne of Jade,Naomi Novik
One False Move,Harlan Coben
A Matter of Honor,Jeffrey Archer
Trunk Music,Michael Connelly
Monsters,Ilsa J. Bick
Calamity,Brandon Sanderson
Amadeus,Peter Shaffer
The Sky is Falling,Sidney Sheldon
A Civil Campaign,Lois McMaster Bujold
Rush,Maya Banks
The Brass Verdict,Michael Connelly
Ladies' Night ,Mary Kay Andrews
Sharp Objects,Gillian Flynn
The Incredible Journey,Sheila Burnford
Where We Belong,Emily Giffin
The Guilty,David Baldacci
Ruby,Cynthia Bond
Galveston,Nic Pizzolatto
The Pagan Stone,Nora Roberts
God Emperor of Dune,Frank Herbert
Seduction in Death,J.D. Robb
The Duchess War,Courtney Milan
"Over Sea, Under Stone",Susan Cooper
Burn,Maya Banks
The Orphan Master's Son,Adam Johnson
